Word,Meaning
der schriftsteller,كاتب
der schuh,shoe
der schulchor,كورال
der schüler,student
der schwager,brother in law
der schwamm,sponge
der schwanz,tail
der see,بحيرة
der sender,المرسل
der sessel,arm chair
der sohn,son
der sommer,summer
der spaß,fun
der speicher,memory
der spinat,spinach - سبانخ
der sport,sport
der staat,دولة
der star,star
der stock,floor
der stoß,kick
der strand,شاطئ
der streit,fight
der strom,stream
der strumpf,socks
der stuhl,chair
der süden,south
der taschenrechner,calculator
der tee,شاي
der teil,جزء
der teller,plate
der tennis,tennis
der teppich,carpet
der termin,appointment
der test,test
der tisch,table
der tischhefter,دباسة
der tischler,carpenter
der titel,عنوان
der topf,pot
der tourist,tourist
der traum,dream
der trupp,"troup, فرقة , رهط"
der turm,برج
der unfall,حادثة
der unterricht,class
der urlaub,اجازة
der vater,father
der verfasser,مؤلف
der vergaser,كاربيتير
der verkäufer,بائع
der verwandte,relative
der vogel,bird
der vorteil,advantage
der wagen,car
der wald,forest
der wecker,alarm clock
der weißkohl,white cabbage - كرنب
der weltkrieg,حرب عالمية
der westen,west
der winter,winter
der wirt,host
der zahn,tooth
der zeichner,drawer
der zettel,list
der zoo,zoo
der zucker,سكر
der zufall,chance
der zug,القطار
der zuschauer,المشاهد
der zweig,branch
deshalb,لذلك
deutlich,بوضوح
die abfahrt,الاقلاع، الانطلاق، departure
die adresse,عنوان مكان
die allergie,حساسية
die Alpen,جبال الألب
die anforderung,مطلب
die angst,الخوف
die ankunft,الوصول
die ansicht,view
die anwendung,تطبيق
die anzahl,عدد ، count
die anzeige,إعلان
die aprikose,مشمش
die arbeit,عمل
die arbeitslosigkeit,البطالة
die aubergine,باذنجان
die auskunft,الدليل، المعلومات
die ausstellung,معرض فني
die bahn,سكة
die banane,موز
die bank,بنك
die bedienung,خدمة
die begrüßung,التحية
die beteiligung,"share, participation"
die bibliothek,مكتبة للاستعارة
die biologie,علم البيولوجي
die birne,كمثرى
die bluse,بلوزة
die bohne,فاصوليا
die botschaft,سفارة
die brille,نظارة
die brücke,جسر
die brust,الصدر
die buchhandlung,مكتبة لبيع الكتب
die bundeswehr,الجيش الألماني
die burg,قلعة
die büste,تمثال نصفي
die butter,زبدة
die dame,مدام
die dattel,بلح
die ebene,أرض سهل
die einleitung,مقدمة ،استهلال
die einschränkung,حظر
die eintrittskarte,تذكرة دخول
die energie,الطاقة
die erde,الأرض
die erdkunde,جغرافيا
die erfassung,تسجيل ، قيد
die erkältung,انفلونزا، برد
die eröffnung,افتتاح
die erwartung,التوقع
die erzählung,حكاية ،رواية
die fahne,راية، علم
die familie,عائلة
die farbe,لون
die feier,حفلة
die ferien,عطلة رسمية، اجازة
die fernweh,حب السفر
die feuerwehr,المطافئ
die firma,شركة
die fläche,مساحة
die flagge,علم
die fluggesellschaft,شركة طيران
die frau,السيدة
die freiheit,الحرية
die freude,السعادة
die frist,"deadline, time period"
die futter,غذاء الحيوان
die gabel,شوكة
die gebühr,رسوم، تكاليف
die gegend,"district, area"
die geschichte,تاريخ
die gesellschaft,مجتمع، صحبة
die gesundheit,صحة
die glatze,رأس صلعاء
die grenze,حد
die grippe,انفلونزا
die gurke,خيار
die hand,اليد
die hauptstadt,العاصمة
die hauptstelle,محطة أتوبيس
die herausforderung,تحدي
die herkunft,الأصل، المنبع
die hoffnung,الأمل
die hose,بنطلون
die hütte,كوخ، كهف
die insel,جزيرة
die jacke,جاكيت
die jahrzeit,فصل السنة
die jugendherberge,بيت الشباب
die kälte,البرودة
die kamera,كاميرا
die karotte,carrot
die kartoffel,بطاطس
die kasse,"checkout, cashier"
die katze,قطة
die kette,سلسلة، عقد
die kirche,كنيسة
die kleidung,ملابس
die krankenschwester,ممرضة
die krawatte,كرافته
die kreide,طباشير
die kritik,نقد
die küche,مطبخ
die kuh,بقرة
die kunst,فن
die kurve,منحنى
die lampe,لمبة
die landschaft,الطبيعة
die landwirtschaft,زراعة
die lehre,دورة تدريبية
die leistung,جهد
die liebe,الحب
die limonade,عصير ليمون
die literatur,الأدب
die luft,الهواء
die lupe,magnifying glass
die lust,رغبة ، مزاج
die mahlzeit,وجبة غذائية
die malerei,الرسم
die mappe,دوسيه
die margarine,سمن صناعي
die marmelade,مربى
die maßnahme,اجراء
die mathematik,علم الحساب
die mauer,سور
die maus,فأر
die milch,لبن
die minute,دقيقة
die moschee,مسجد
die musik,موسيقى
die mutter,أم
die nachricht,خبر
die nacht,ليلة
die nähe,القرب
die nase,الانف
die nudel,مكرونة
die nummer,رقم
die olive,زيتون
die oma,جدة
die passanten,المارة
die pause,استراحة
die pflege,عناية
die physik,فيزياء
die postleitzahl,الرقم البريدي
die presse,الصحافة
die prüfung,امتحان 
die rede,خطبة
die reihe,صف
die reise,رحلة سفر
die religion,دين
die revolution,ثورة
die richtung,اتجاه
die rolle,دور
die rupie,دمية
die sache,شئ
die schaltung,دائرة كهربائية
die schere,مقص
die schlacht,fight
die schlange,ثعبان
die schnittstelle,واجهة
die schrift,كتابة
die schublade,درج
die schule,مدرسة
die schulter,الكتف
die schüssel,سلطانية
die schwägerin,أخت الزوجة، زوجة الأخ
die schwester,أخت
die sehenswürdigkeit,مزار سياحي
die sekunde,ثانية
die seltenheit,الندرة
die sicherheit,الأمن
die sommersprossen,نمش
die sozialkunde,علم الاجتماع
die speise,طعام
die spitzdose,براية
die spitze,أعلى شيء
die sprache,اللغة
die stadt,مدينة
die stange,"stick, bar"
die stelle,منصب، مركز وظيفي
die steuerung,تحكم
die straße,شارع
die stunde,ساعة
die tafel,سبورة
die tante,عمة، خالة
die tasche,شنطة
die tasse,فنجان
die tastatur,keyboard
die theateraufführung,عرض مسرحي
die tochter,ابنة
die tradition,عادة و تقليد
die trauer,الحزن
die treppe,سلم
die treue,الوفاء
die tür,باب
die turnhose,بنطلون تدريب رياضي
die tüte,كيس
die übernachtung,المبيت
die überschrift,عنوان
die überwachungskamera,كاميرا المراقبة
die überweisung,تحويل، نقل شيء
die übung,تمرين
die uhr,ساعة، منبه
die umgebung,بيئة محيطة، شئ مجاور
die unterlagen,مستند
die unterschrift,توقيع
die untertasse,طبق الفنجان
die verabredung,مواعدة
die verabschiedung,المغادرة ، الوداع
die verbindung,الربط، الوصل
die vereinigung,الوحدة، الاتحاد
die vorstellung,تقديم
die wand,حائط
die wärme,الدفء
die wäschklammer,مشبك غسيل
die wassermelone,بطيخ
die weltmeisterschaft,كأس العالم
die weltreise,رحلة حول العالم
die werkstatt,ورشة
die wiese,أرض، مرعى
die wirtschaft,الاقتصاد
die wissenschaft,العلم
die woche,أسبوع
die wohnung,شقة
die wurst,سجق
die zahl,عدد – digit
die zeit,وقت
die zeitung,جريدة
die zitrone,ليمون
die zulassung,تصريح
die zunge,اللسان
die zwiebel,بصل
dieb,thief
doof,"stupid, dumb"
dort,هناك
draussen,outside
draußen,"abroad, out"
drinnen,inside
dumm,غبي
dunkel,غامق
dunkelblau,أزرق غامق
ehrlich,بصدق
eigentlich,في الواقع
eilig,"on the fly, urgent"
ein bisschen,a little
eine nummer wählen,to dial a number
einfach,ببساطة
einkaufen,يتسوق، يتبضع
einladen,يدعو، يعزم
einsteigen,يستقل مركبة
einzeln,كل على حدا
empfangen,يستقبل، يستضيف
empfehlen,يوصي ب ، يرشح
eng,ضيق
entlassen,يصرف، يجعله يغادر
entscheiden,يقرر
entschuldigen,يعتذر
erfahren,يحصل على خبرة
erfinden,يكتشف، يخترع
erfüllen,يحقق شرط، يملأ
ergeben,ينتج عنه
erkennen,to recognize، يتعرف على
erklären,يشرح، يفسر
erkundigen,يستفسر، يستعلم
erledigen,ينجز
erlernen,يتعلم حرفة
erlöschen,to expire
ernst,serious
erstaunt,surprised
erwarten,يتوقع
erzählen,يحكي
essen,يأكل
fallen,يسقط
falsch,خطأ
fast,ما يقرب من، تقريبا
faul,بليد
feiern,يحتفل
fertig,منتهي منه
finden,يجد
flach,flat (adj)
fleißig,مجتهد
fliegen,يطير
fliegend,طائر
fortan,من الآن فصاعدا
fragen,يسأل
freuen,يسعد، يسر
frisch,طازج
früh,مبكرا
für,لأجل
ganz,كليا، تماما
gar nicht,not at all
geben,يعطي
gefährlich,خطير
gefallen,يُعجب
gehen,يذهب
gehören,يخص
gelb,أصفر
genießen,يستمتع
genug,كافي
gerade,حالا، توا
geradeaus,على طول
gewöhnlich,usually
glatt,مفرود
glauben,يعتقد
gleich,حالا
gratulieren,يهنئ
grau,رمادي
grob,خشن
groß,كبير
großartig,عظيم
grün,أخضر
gründen,يؤسس
grüß dich,أهلا وسهلا
grüßen,يُحَيي
gut,جيد
gute besserung,سلامتك !
gute nacht,تصبح على خير
guten tag,يومك سعيد
haben,يملك
halten,يقبض، يوقف
hässlich,بغيض
häufig,متكرر
heiß,دافئ
heißen,يُدعى
helfen,يساعد
hell,فاتح
hellblau,أزرق فاتح
herkömmlich,traditional
herrlich,رائع
herstellen,ينتج
heute,اليوم
hier,هنا
hinaufsteigen,يصعد إلى هناك
hingehen,يذهب إلى هناك
hoch,عالي
hoffen,يأمل
höflich,مهذب
hören,يسمع
hübsch,جميل
ich habe es eilig,i am in a hurry
igitt,مقرف
immer,دائما
in,في
in ordnung,على ما يرام
in sachen,in terms of
insgesamt,in total
jetzt,الآن
kalt,بارد
kämmen,يمشط الشعر
kaufen,يشتري
kaum,"bare, barely"
kennenlernen,يتعرف على
klasse,رائع
klauen,steal
klein,صغير
klingeln,يرن الجرس
klug,ذكي
kochen,يطبخ
komisch,كوميدي
kosten,يكلف
krank,مريض
kraus,مجعد
kreisen,يدور
kriegen,يحصل على
kühl,بارد
kurz,قصير
lachen,يضحك
laden,يُحمّل
landen,يهبط
lang,طويل
langsam,بطيئ
langweilig,ممل
laufen,يجري
laut,مرتقع
leben,يعيش
lecker,delicious
leer,فارغ
leicht,خفيف
leider,للاسف
leise,منخفض
lernen,يتعلم
lesen,يقرأ
lila,بنفسجي
links,يسار
lockig,curly
lohnen,يستحق
losfahren,يبدأ السفر
lustig,مضحك، هزلي
machen,يفعل
manchmal,أحيانا
meinen,يعني
messen,يقيس
mieten,يستأجر
mindeste,least
miserable,بؤس
mit einander,مع بعضهما البعض
mitbringen,يحضر معه
mitnhemen,يأخذ معه
möglich,ممكن
müde,مرهَق
müssen,يجب
nach,بعد
nachher,بعد ذلك
nachwärts,إلى الخلف
nah,قريب
nähen,يخيط
nass,wet
nehmen,يأخذ معه
neidisch,حقود
nett,لطيف
neu,جديد
nicht,ليس
nicht so besonders,ليس على ما يرام
nie,never
niemand,لا أحد
norden,شمال
nötig,necessary
notwendig,ضروري
nur,فقط
nutzen,ينتفع
oder,أو
öffnen,يفتح
originell,أصلي
osten,شرق
parken,يركن
passen,يناسب
pausenlos,متواصل
pech haben,to be unlucky
pfiffig,واعي، ناصح
prima,ممتاز
pünktlich,مضبوط
putzen,ينظف، يمسح
raten,يخمن
rechts,يمين
rechtzeitig,في الوقت المناسب
reden,يخاطب
regelmäßig,بانتظام
reichen,يصل
reinigen,ينظف
renovieren,يجدد
richtig,صواب
rot,أحمر
sagen,يقول
salzig,حادق، مر
sammeln,يجمع
sauber,نظيف
saubermachen,ينظف
schaden,يخسر
schauen,ينظر إلى شئ مباشرة
scheren,"to cut, shave"
schirm,umbrella
schlafen,ينام
schlagen,"to hit, to slap, to punch"
schlecht,سيئ
schlicht,"simple, simply"
schließen,يقفل
schmecken,يتذوق
schmücken,يجمل، يزين
schmutzig,متسخ
schneiden,يقطع
schnell,سريع
schon,حقا
schreiben,يكتب
schützen,يحمي
schwach,ضعيف
schwanger,حبلى
schwendelig,دايخ
schwer,ثقيل
schwimmen,يسبح
sehen,يرى
sehenswert,مستحق المشاهدة
sehr,جدا
sein,يكون
setzen,يُجلس
sicher,بالتأكيد
sollen,ينبغي
sorgfältig,بعناية
spannend,شيق
sparen,يوفر
spät,متأخر
spielen,يلعب
spitze,هائل
springen,يقفز
stark,قوي
stehen,يقف
steigen,يصعد
steigend,متزايد
sterben,يموت
stets,باستمرار
stimmt,بالضبط
stolz,فخور
streng,صارم
suchen,يبحث
süden,جنوب
süß,حلو
tafel,board
tanzen,يرقص
tatsache,fact
teilen,يقسم، يجزأ
teilnehmen,يشارك 
teuer,غالي
tief,عميق
toll,رائع
tragen,يحمل ، يرتدي
trainieren,يتدرب
trampen,يسافر بالأوتوستوب
treffen,يتقابل
treiben,يمارس رياضة، to drive
trinken,يشرب
trotzig,جرئ
trüben,يشوه
tschüß,وداعا
tun,يفعل
überall,في كل مكان
überlegen,يفكر في أمر
überlegung,consideration
übernachten,يبيت
übernehmen,يتولى شيئ
umsteigen,يغير مواصلة
umziehen,يغير ملابس، يعزل من بيت
unbekannt,غير معروف
und,و
ungefähr,حوالي
unsichtbar,غير مرئي
unterbrechen,to disturb
unterhalten,يتسامر
untersuchen,يفحص، يحقق في
unterwegs,في الطريق
verabreden mit,يتواعد مع
verabschieden,يستأذن في الانصراف
verändern,يتغير
veranstalten,ينظم حدثاً
verbereiten,ينتشر
verbinden,يربط
verbringen,يقضي، يستهلك وقت
vereinen,يوحد
vereinigen,يتحد
vereinigt,متحد
vereint,موحد
verfassen,يؤلف كتاب
verfügen,يحكم ب ، يسن قانونا
vergessen,ينسى
verhaften,to arrest
verkaufen,يبيع
verlassen,يغادر
verletzten,ينجرح، يصاب
verlieren,to lose
vermutlich,افتراضاً
vernetzen,يتواصل
verpassen,يفقد، يفوته شيئ
verschwenden,يضيع، يبدد
verstecken,يُخْفي
verteilen,يقسم، يجزأ
viel,كثير
vielleicht,ربما
voll,مملوء
vorhanden,existing
vorher,قبل ذلك
vorige woche,الأسبوع الماضي
vorlesen,to read out loud
vorstellen,يقدم
vorwärts,إلى الأمام
wählen,يختار
warm,دافئ
warten,ينتظر
waschen,يغسل، يغتسل
weggehen,يرحل
weh tun,to hurt
weich,رقيق، ضعيف
weinen,يبكي
weit,بعيد
weiter,معاودة
weltbekannt,معروف عالمياً
weltweit,worldwide
wenig,قليل
wer,من؟
westen,غرب
wie,"كيف, مثل"
wie bitte?,excuse me?
wieder,مرة أخرى
wiegen,يوزن
willkommen,مرحبا
wissen,يعرف
wo,أين؟
woher,من أين؟
wohin,إلى أين؟
wohnen,يسكن
wollen,يريد
wünschen,يتمنى
zart,طري
zeichnen,يرسم
zeigen,يعرض
zu,ل
zudem,moreover
zum glück,لحسن الحظ
zum schluß,في النهاية
zumachen,to shut
zumachen,يغلق
zumindest,at least
zunehmen,يسمن
zurück,وراء
zusammen,معاً
zuverlässig,يُعتمد عليه، موثوق به
